# LSST Throughputs files created from syseng_throughputs repo
# Version 1.9
# sha1 fcc05772f99427e4a45cd1b9da1628dded9a06d5
# Aerosols added to atmosphere
# Wavelen_cutoff_BLUE 799.30
# Wavelen_cutoff_RED 939.20
# Wavelength(nm)  Throughput(0-1)
789.2000000001112 9.448235923018421e-05
789.3000000001113 0.00010073820292458412
789.4000000001113 0.00010698867526698687
789.5000000001113 0.00011323377646599634
789.6000000001113 0.00011952279447994113
789.7000000001113 0.0001258116284344161
789.8000000001114 0.00013210027831016513
789.9000000001114 0.0001383887440879336
790.0000000001114 0.0001446770257452739
790.1000000001114 0.00014782091625171762
790.2000000001115 0.0001509647528713382
790.3000000001115 0.0001541085355930381
790.4000000001115 0.00015725226440621004
790.5000000001115 0.00016039593929993194
790.6000000001115 0.00016353956026328217
790.7000000001116 0.0001666831272851623
790.8000000001116 0.00016982664035518482
790.9000000001116 0.00017297009946226543
791.0000000001116 0.00017611350461172847
791.1000000001117 0.00019380505222578584
791.2000000001117 0.0002115111811529781
791.3000000001117 0.00022923189139606554
791.4000000001117 0.0002469671829574517
791.5000000001118 0.0002647170558398137
791.6000000001118 0.0002823653103301973
791.7000000001118 0.00030001362078803287
791.8000000001118 0.00031766198714717244
791.9000000001118 0.00033531040934054834
792.0000000001119 0.0003529588872777155
792.1000000001119 0.0003491062385716367
792.2000000001119 0.0003452551257939095
792.3000000001119 0.000341405548971739
792.400000000112 0.0003375575081323117
792.500000000112 0.0003337110033033046
792.600000000112 0.0003300019496463377
792.700000000112 0.0003262913201850552
792.800000000112 0.0003225791149210543
792.9000000001121 0.0003188653338573389
793.0000000001121 0.00031514997699351064
793.1000000001121 0.0003084061667932023
793.2000000001121 0.0003016538302123649
793.3000000001122 0.00029489296734000784
793.4000000001122 0.000288123578265208
793.5000000001122 0.00028134566307770804
793.6000000001122 0.0002745592218663875
793.7000000001123 0.0002677642547210747
793.8000000001123 0.00026096076173105537
793.9000000001123 0.00025414874298541445
794.0000000001123 0.0002473281985974567
